LED1  voltage,photoresistor  voltage,Time,LED2  voltage,photoresistor  voltage,Time,LED3  voltage,photoresistor  voltage,Time
1500,0,Sat Oct  5 21:06:02 2024,1500,0,Sat Oct  5 21:49:00 2024,1500,0,Sat Oct  5 22:09:36 2024
1520,0,Sat Oct  5 21:06:10 2024,1520,0,Sat Oct  5 21:49:08 2024,1520,0,Sat Oct  5 22:09:45 2024
1540,0,Sat Oct  5 21:06:19 2024,1540,0,Sat Oct  5 21:49:17 2024,1540,0,Sat Oct  5 22:09:53 2024
1560,0,Sat Oct  5 21:06:27 2024,1560,0,Sat Oct  5 21:49:25 2024,1560,0,Sat Oct  5 22:10:02 2024
1580,0,Sat Oct  5 21:06:36 2024,1580,0,Sat Oct  5 21:49:34 2024,1580,0,Sat Oct  5 22:10:10 2024
1600,0,Sat Oct  5 21:06:44 2024,1600,0,Sat Oct  5 21:49:42 2024,1600,0,Sat Oct  5 22:10:19 2024
1620,0,Sat Oct  5 21:06:53 2024,1620,0,Sat Oct  5 21:49:51 2024,1620,18,Sat Oct  5 22:10:27 2024
1640,0,Sat Oct  5 21:07:01 2024,1640,0,Sat Oct  5 21:49:59 2024,1640,41,Sat Oct  5 22:10:36 2024
1660,8,Sat Oct  5 21:07:10 2024,1660,92,Sat Oct  5 21:50:08 2024,1660,207,Sat Oct  5 22:10:44 2024
1680,24,Sat Oct  5 21:07:18 2024,1680,149,Sat Oct  5 21:50:16 2024,1680,302,Sat Oct  5 22:10:53 2024
1700,65,Sat Oct  5 21:07:27 2024,1700,309,Sat Oct  5 21:50:25 2024,1700,565,Sat Oct  5 22:11:01 2024
1720,90,Sat Oct  5 21:07:35 2024,1720,395,Sat Oct  5 21:50:33 2024,1720,705,Sat Oct  5 22:11:10 2024
1740,166,Sat Oct  5 21:07:44 2024,1740,649,Sat Oct  5 21:50:42 2024,1740,1055,Sat Oct  5 22:11:18 2024
1760,252,Sat Oct  5 21:07:52 2024,1760,941,Sat Oct  5 21:50:50 2024,1760,1431,Sat Oct  5 22:11:27 2024
1780,300,Sat Oct  5 21:08:01 2024,1780,1083,Sat Oct  5 21:50:59 2024,1780,1598,Sat Oct  5 22:11:35 2024
1800,408,Sat Oct  5 21:08:09 2024,1800,1349,Sat Oct  5 21:51:07 2024,1800,1917,Sat Oct  5 22:11:44 2024
1820,458,Sat Oct  5 21:08:18 2024,1820,1470,Sat Oct  5 21:51:16 2024,1820,2044,Sat Oct  5 22:11:52 2024
1840,564,Sat Oct  5 21:08:26 2024,1840,1701,Sat Oct  5 21:51:24 2024,1840,2323,Sat Oct  5 22:12:01 2024
1860,621,Sat Oct  5 21:08:35 2024,1860,1813,Sat Oct  5 21:51:33 2024,1860,2434,Sat Oct  5 22:12:09 2024
1880,717,Sat Oct  5 21:08:43 2024,1880,1986,Sat Oct  5 21:51:41 2024,1880,2640,Sat Oct  5 22:12:18 2024
1900,776,Sat Oct  5 21:08:52 2024,1900,2105,Sat Oct  5 21:51:50 2024,1900,2750,Sat Oct  5 22:12:26 2024
1920,884,Sat Oct  5 21:09:00 2024,1920,2267,Sat Oct  5 21:51:58 2024,1920,3019,Sat Oct  5 22:12:35 2024
1500,0,Sat Oct  5 21:09:09 2024,1500,0,Sat Oct  5 21:52:07 2024,1500,0,Sat Oct  5 22:12:43 2024
1520,0,Sat Oct  5 21:09:17 2024,1520,0,Sat Oct  5 21:52:15 2024,1520,0,Sat Oct  5 22:12:52 2024
